id,sentence
104,"Hi Alex, please reschedule the meeting by this afternoon for the Operations team in Melbourne."
105,"Hi Riley, please finalize the agenda by Monday for the Design team in Melbourne."
106,"Hi Jordan, please finalize the agenda by Wednesday for the HR team in Canberra."
107,"Hi Riley, please prepare the summary by next week for the HR team in Adelaide."
108,"Hi Riley, please approve the request by tomorrow morning for the Research team in Canberra."
109,"Hi Jamie, please finalize the agenda by Friday for the Operations team in Hobart."
110,"Hi Morgan, please prepare the summary by tomorrow morning for the Operations team in Brisbane."
111,"Hi Jamie, please reschedule the meeting by Friday for the Operations team in Brisbane."
112,"Hi Sam, please share the slides by Tuesday for the Research team in Melbourne."
113,"Hi Casey, please approve the request by Wednesday for the Operations team in Sydney."
114,"Hi Avery, please approve the request by next week for the Design team in Perth."
115,"Hi Avery, please submit the report by Thursday for the Security team in Perth."
116,"Hi Quinn, please submit the report by this afternoon for the HR team in Sydney."
117,"Hi Sam, please confirm attendance by this afternoon for the Security team in Adelaide."
118,"Hi Riley, please send the invoice by Thursday for the HR team in Melbourne."
119,"Hi Morgan, please approve the request by tomorrow morning for the Finance team in Perth."
120,"Hi Sam, please approve the request by Wednesday for the HR team in Melbourne."
121,"Hi Quinn, please prepare the summary by Monday for the Security team in Adelaide."
122,"Hi Quinn, please submit the report by Tuesday for the Security team in Melbourne."
123,"Hi Jamie, please review the draft by Monday for the Support team in Perth."
124,"Hi Sam, please update the budget by tomorrow morning for the Legal team in Brisbane."
125,"Hi Avery, please confirm attendance by this afternoon for the Support team in Hobart."
126,"Hi Jordan, please finalize the agenda by Monday for the Design team in Sydney."
127,"Hi Sam, please update the budget by Tuesday for the Finance team in Hobart."
128,"Hi Alex, please update the budget by Thursday for the Finance team in Adelaide."
129,"Hi Taylor, please update the budget by Wednesday for the HR team in Canberra."
130,"Hi Jordan, please send the invoice by Thursday for the HR team in Canberra."
131,"Hi Morgan, please share the slides by Wednesday for the Analytics team in Adelaide."
132,"Hi Jordan, please review the draft by Friday for the Marketing team in Adelaide."
133,"Hi Alex, please confirm attendance by this afternoon for the Security team in Canberra."
134,"Hi Casey, please reschedule the meeting by Thursday for the Marketing team in Canberra."
135,"Hi Morgan, please send the invoice by Tuesday for the Analytics team in Hobart."
136,"Hi Alex, please share the slides by this afternoon for the Legal team in Sydney."
137,"Hi Riley, please share the slides by Monday for the Security team in Hobart."
138,"Hi Jamie, please reschedule the meeting by this afternoon for the Legal team in Canberra."
139,"Hi Jamie, please review the draft by this afternoon for the Research team in Canberra."
140,"Hi Riley, please confirm attendance by tomorrow morning for the HR team in Perth."
141,"Hi Quinn, please confirm attendance by next week for the Operations team in Hobart."
142,"Hi Jordan, please confirm attendance by tomorrow morning for the Operations team in Hobart."
143,"Hi Jamie, please send the invoice by this afternoon for the Legal team in Sydney."
144,"Hi Jamie, please share the slides by Wednesday for the HR team in Melbourne."
145,"Hi Sam, please confirm attendance by next week for the Support team in Adelaide."
146,"Hi Morgan, please prepare the summary by Monday for the Design team in Melbourne."
147,"Hi Jordan, please update the budget by this afternoon for the HR team in Adelaide."
148,"Hi Casey, please finalize the agenda by tomorrow morning for the HR team in Hobart."
149,"Hi Alex, please reschedule the meeting by Friday for the Operations team in Perth."
150,"Hi Casey, please confirm attendance by next week for the HR team in Adelaide."
151,"Hi Riley, please share the slides by this afternoon for the Design team in Brisbane."
152,"Hi Sam, please finalize the agenda by Friday for the Support team in Brisbane."
153,"Hi Casey, please reschedule the meeting by Thursday for the Legal team in Sydney."
154,"Hi Riley, please review the draft by Thursday for the Operations team in Canberra."
155,"Hi Jamie, please confirm attendance by Friday for the Marketing team in Hobart."
156,"Hi Casey, please confirm attendance by Thursday for the Legal team in Melbourne."
157,"Hi Morgan, please submit the report by Wednesday for the Support team in Sydney."
158,"Hi Alex, please prepare the summary by Friday for the Research team in Canberra."
159,"Hi Jamie, please reschedule the meeting by Monday for the Analytics team in Brisbane."
160,"Hi Jamie, please finalize the agenda by tomorrow morning for the Legal team in Melbourne."
161,"Hi Alex, please confirm attendance by tomorrow morning for the Marketing team in Hobart."
162,"Hi Jordan, please approve the request by tomorrow morning for the Marketing team in Adelaide."
163,"Hi Alex, please review the draft by Wednesday for the Analytics team in Brisbane."
164,"Hi Jordan, please update the budget by Tuesday for the Design team in Hobart."
165,"Hi Avery, please send the invoice by Thursday for the Design team in Perth."
166,"Hi Jamie, please finalize the agenda by Friday for the Analytics team in Perth."
167,"Hi Morgan, please send the invoice by Monday for the Analytics team in Canberra."
168,"Hi Jordan, please update the budget by Thursday for the Support team in Canberra."
169,"Hi Jordan, please review the draft by Thursday for the Research team in Adelaide."
170,"Hi Jordan, please review the draft by Monday for the Security team in Perth."
171,"Hi Quinn, please finalize the agenda by Friday for the Finance team in Melbourne."
172,"Hi Morgan, please confirm attendance by tomorrow morning for the Marketing team in Canberra."
173,"Hi Casey, please confirm attendance by Thursday for the Security team in Sydney."
174,"Hi Riley, please update the budget by Wednesday for the Support team in Hobart."
175,"Hi Taylor, please reschedule the meeting by Monday for the Research team in Hobart."
176,"Hi Morgan, please send the invoice by Friday for the HR team in Sydney."
177,"Hi Jamie, please confirm attendance by this afternoon for the Support team in Adelaide."
178,"Hi Riley, please finalize the agenda by tomorrow morning for the Marketing team in Adelaide."
179,"Hi Alex, please approve the request by next week for the Analytics team in Brisbane."
180,"Hi Alex, please reschedule the meeting by Thursday for the Analytics team in Adelaide."
181,"Hi Alex, please confirm attendance by Monday for the Research team in Perth."
182,"Hi Riley, please finalize the agenda by Friday for the Research team in Adelaide."
183,"Hi Avery, please finalize the agenda by Tuesday for the HR team in Brisbane."
184,"Hi Avery, please share the slides by next week for the Marketing team in Hobart."
185,"Hi Taylor, please share the slides by this afternoon for the HR team in Brisbane."
186,"Hi Avery, please prepare the summary by Monday for the HR team in Sydney."
187,"Hi Sam, please confirm attendance by next week for the Marketing team in Hobart."
188,"Hi Avery, please prepare the summary by Monday for the Design team in Perth."
189,"Hi Avery, please submit the report by Thursday for the Design team in Brisbane."
190,"Hi Quinn, please finalize the agenda by tomorrow morning for the Finance team in Melbourne."
191,"Hi Morgan, please prepare the summary by Wednesday for the Support team in Perth."
192,"Hi Jamie, please reschedule the meeting by Monday for the Analytics team in Hobart."
193,"Hi Casey, please review the draft by Friday for the Design team in Sydney."
194,"Hi Riley, please approve the request by Tuesday for the Operations team in Hobart."
195,"Hi Jordan, please finalize the agenda by Tuesday for the Research team in Perth."
196,"Hi Morgan, please prepare the summary by Friday for the Security team in Hobart."
197,"Hi Jamie, please finalize the agenda by Thursday for the HR team in Adelaide."
198,"Hi Taylor, please approve the request by Thursday for the Analytics team in Adelaide."
199,"Hi Taylor, please reschedule the meeting by Friday for the Security team in Brisbane."
